beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,0.5,D3,no,50,0,0
0.5,0.5,E3,no,52,0.3,0.3
1.0,0.5,F#3,no,54,0.6,0.6
1.5,0.5,G3,no,55,0.9,0.9
2.0,0.5,A3,no,57,1.2,1.2
2.5,0.5,A3,no,57,1.5,1.5
3.0,0.5,A3,no,57,1.8,1.8
3.5,0.5,A3,no,57,2.1,2.1
4.0,0.5,B3,no,59,2.4,2.4
4.5,0.5,G3,no,55,2.7,2.7
5.0,0.5,D4,no,62,3,3
5.5,0.5,B3,no,59,3.3,3.3
6.0,1.0,A3,no,57,3.6,3.6
8.0,0.5,B3,no,59,4.8,4.8
8.5,0.5,G3,no,55,5.1,5.1
9.0,0.5,D4,no,62,5.4,5.4
9.5,0.5,B3,no,59,5.7,5.7
10.0,1.0,A3,no,57,6,6
12.0,0.5,A3,no,57,7.2,7.2
12.5,0.5,G3,no,55,7.5,7.5
13.0,0.5,G3,no,55,7.8,7.8
13.5,0.5,G3,no,55,8.1,8.1
14.0,0.5,G3,no,55,8.4,8.4
14.5,0.5,F#3,no,54,8.7,8.7
15.0,0.5,F#3,no,54,9,9
15.5,0.5,F#3,no,54,9.3,9.3
16.0,0.5,F#3,no,54,9.6,9.6
16.5,0.5,E3,no,52,9.9,9.9
17.0,0.5,E3,no,52,10.2,10.2
17.5,0.5,E3,no,52,10.5,10.5
18.0,0.5,D3,no,50,10.8,10.8
18.5,0.5,F#3,no,54,11.1,11.1
19.0,1.0,A3,no,57,11.4,11.4
20.0,0.5,A3,no,57,12,12
20.5,0.5,G3,no,55,12.3,12.3
21.0,0.5,G3,no,55,12.6,12.6
21.5,0.5,G3,no,55,12.9,12.9
22.0,0.5,G3,no,55,13.2,13.2
22.5,0.5,F#3,no,54,13.5,13.5
23.0,0.5,F#3,no,54,13.8,13.8
23.5,0.5,F#3,no,54,14.1,14.1
24.0,0.5,F#3,no,54,14.4,14.4
24.5,0.5,E3,no,52,14.7,14.7
25.0,0.5,E3,no,52,15,15
25.5,0.5,E3,no,52,15.3,15.3
26.0,1.0,D3,no,50,15.6,15.6
28.0,0.5,D3,no,50,16.8,16.8
28.5,0.5,E3,no,52,17.1,17.1
29.0,0.5,F#3,no,54,17.4,17.4
29.5,0.5,G3,no,55,17.7,17.7
30.0,0.5,A3,no,57,18,18
30.5,0.5,A3,no,57,18.3,18.3
31.0,0.5,A3,no,57,18.6,18.6
31.5,0.5,A3,no,57,18.9,18.9
32.0,0.5,B3,no,59,19.2,19.2
32.5,0.5,G3,no,55,19.5,19.5
33.0,0.5,D4,no,62,19.8,19.8
33.5,0.5,B3,no,59,20.1,20.1
34.0,1.0,A3,no,57,20.4,20.4
36.0,0.5,B3,no,59,21.6,21.6
36.5,0.5,G3,no,55,21.9,21.9
37.0,0.5,D4,no,62,22.2,22.2
37.5,0.5,B3,no,59,22.5,22.5
38.0,1.0,A3,no,57,22.8,22.8
40.0,0.5,A3,no,57,24,24
40.5,0.5,G3,no,55,24.3,24.3
41.0,0.5,G3,no,55,24.6,24.6
41.5,0.5,G3,no,55,24.9,24.9
42.0,0.5,G3,no,55,25.2,25.2
42.5,0.5,F#3,no,54,25.5,25.5
43.0,0.5,F#3,no,54,25.8,25.8
43.5,0.5,F#3,no,54,26.1,26.1
44.0,0.5,F#3,no,54,26.4,26.4
44.5,0.5,E3,no,52,26.7,26.7
45.0,0.5,E3,no,52,27,27
45.5,0.5,E3,no,52,27.3,27.3
46.0,0.5,D3,no,50,27.6,27.6
46.5,0.5,F#3,no,54,27.9,27.9
47.0,1.0,A3,no,57,28.2,28.2
48.0,0.5,A3,no,57,28.8,28.8
48.5,0.5,G3,no,55,29.1,29.1
49.0,0.5,G3,no,55,29.4,29.4
49.5,0.5,G3,no,55,29.7,29.7
50.0,0.5,G3,no,55,30,30
50.5,0.5,F#3,no,54,30.3,30.3
51.0,0.5,F#3,no,54,30.6,30.6
51.5,0.5,F#3,no,54,30.9,30.9
52.0,0.5,F#3,no,54,31.2,31.2
52.5,0.5,E3,no,52,31.5,31.5
53.0,0.5,E3,no,52,31.8,31.8
53.5,0.5,E3,no,52,32.1,32.1
54.0,1.0,D3,no,50,32.4,32.4
