beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,0.5,D3,no,50,0,0
0.5,1.0,G3,no,55,0.3,0.3
1.5,0.25,G3,no,55,0.9,0.9
1.75,0.25,A3,no,57,1.05,1.05
2.0,0.25,B3,no,59,1.2,1.2
2.25,0.25,C4,no,60,1.35,1.35
2.5,1.0,D4,no,62,1.5,1.5
3.5,0.5,B3,no,59,2.1,2.1
4.0,0.5,B3,no,59,2.4,2.4
4.5,0.5,A3,no,57,2.7,2.7
5.0,0.5,D4,no,62,3,3
5.5,0.5,A3,no,57,3.3,3.3
6.0,0.5,D4,no,62,3.6,3.6
6.5,0.25,B3,no,59,3.9,3.9
6.75,0.25,C4,no,60,4.05,4.05
7.0,0.25,B3,no,59,4.2,4.2
7.25,0.25,A3,no,57,4.35,4.35
7.5,0.5,G3,no,55,4.5,4.5
8.0,0.5,D3,no,50,4.8,4.8
8.5,1.0,G3,no,55,5.1,5.1
9.5,0.25,G3,no,55,5.7,5.7
9.75,0.25,A3,no,57,5.85,5.85
10.0,0.25,B3,no,59,6,6
10.25,0.25,C4,no,60,6.15,6.15
10.5,1.0,D4,no,62,6.3,6.3
11.5,0.5,B3,no,59,6.9,6.9
12.0,0.5,B3,no,59,7.2,7.2
12.5,0.5,A3,no,57,7.5,7.5
13.0,0.5,D4,no,62,7.8,7.8
13.5,0.5,C#4,no,61,8.1,8.1
14.0,0.5,E4,no,64,8.4,8.4
14.5,1.5,D4,no,62,8.7,8.7
16.0,0.5,A3,no,57,9.6,9.6
16.5,1.0,B3,no,59,9.9,9.9
17.5,0.5,B3,no,59,10.5,10.5
18.0,0.5,B3,no,59,10.8,10.8
18.5,1.0,G3,no,55,11.1,11.1
19.5,0.5,G3,no,55,11.7,11.7
20.0,0.5,G3,no,55,12,12
20.5,1.0,C4,no,60,12.3,12.3
21.5,0.5,C4,no,60,12.9,12.9
22.0,0.5,C4,no,60,13.2,13.2
22.5,1.5,A3,no,57,13.5,13.5
24.0,0.5,A3,no,57,14.4,14.4
24.5,1.0,B3,no,59,14.7,14.7
25.5,0.5,B3,no,59,15.3,15.3
26.0,0.5,B3,no,59,15.6,15.6
26.5,1.0,C4,no,60,15.9,15.9
27.5,0.5,B3,no,59,16.5,16.5
28.0,0.5,B3,no,59,16.8,16.8
28.5,1.0,A3,no,57,17.1,17.1
29.5,0.25,B3,no,59,17.7,17.7
29.75,0.25,A3,no,57,17.85,17.85
30.0,0.25,G3,no,55,18,18
30.25,0.25,A3,no,57,18.15,18.15
30.5,1.0,B3,no,59,18.3,18.3
31.5,0.5,G3,no,55,18.9,18.9
32.0,0.5,G3,no,55,19.2,19.2
32.5,1.0,B3,no,59,19.5,19.5
33.5,0.5,B3,no,59,20.1,20.1
34.0,0.5,B3,no,59,20.4,20.4
34.5,0.5,D4,no,62,20.7,20.7
35.0,0.5,C4,no,60,21,21
35.5,0.5,B3,no,59,21.3,21.3
36.0,0.5,B3,no,59,21.6,21.6
36.5,0.25,B3,no,59,21.9,21.9
36.75,0.25,A3,no,57,22.05,22.05
37.0,0.25,G3,no,55,22.2,22.2
37.25,0.25,A3,no,57,22.35,22.35
37.5,0.5,B3,no,59,22.5,22.5
38.0,0.5,A3,no,57,22.8,22.8
38.5,1.5,G3,no,55,23.1,23.1
40.0,0.5,D3,no,50,24,24
40.5,0.5,D3,no,50,24.3,24.3
41.0,0.25,D3,no,50,24.6,24.6
41.25,0.25,D3,no,50,24.75,24.75
41.5,0.5,D3,no,50,24.9,24.9
42.0,0.25,D3,no,50,25.2,25.2
42.25,0.25,D3,no,50,25.35,25.35
42.5,0.5,D3,no,50,25.5,25.5
43.0,0.25,D3,no,50,25.8,25.8
43.25,0.25,D3,no,50,25.95,25.95
43.5,0.5,D3,no,50,26.1,26.1
44.0,0.25,D3,no,50,26.4,26.4
44.25,0.25,D3,no,50,26.55,26.55
44.5,1.0,G3,no,55,26.7,26.7
45.5,0.5,D3,no,50,27.3,27.3
46.0,0.5,B3,no,59,27.6,27.6
46.5,1.0,G3,no,55,27.9,27.9
47.5,0.5,D3,no,50,28.5,28.5
48.0,0.5,B3,no,59,28.8,28.8
48.5,0.25,D4,no,62,29.1,29.1
48.75,0.25,C4,no,60,29.25,29.25
49.0,0.5,A3,no,57,29.4,29.4
49.5,0.25,D4,no,62,29.7,29.7
49.75,0.25,C4,no,60,29.85,29.85
50.0,0.5,A3,no,57,30,30
50.5,0.25,D4,no,62,30.3,30.3
50.75,0.25,C4,no,60,30.45,30.45
