beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,D3,no,50,,
1.0,1.0,G3,no,55,,
2.0,0.75,G3,no,55,,
2.75,0.25,A3,no,57,,
3.0,1.0,B-3,no,58,,
4.0,1.0,A3,no,57,,
5.0,2.0,G3,no,55,,
8.0,1.0,B-3,no,58,,
9.0,1.0,A3,no,57,,
10.0,1.0,G3,no,55,,
11.0,1.0,F#3,no,54,,
12.0,0.75,E3,no,52,,
12.75,0.25,E3,no,52,,
13.0,3.0,D3,no,50,,
16.0,1.0,D3,no,50,,
17.0,1.0,G3,no,55,,
18.0,0.75,G3,no,55,,
18.75,0.25,A3,no,57,,
19.0,1.0,B-3,no,58,,
20.0,1.0,A3,no,57,,
21.0,2.0,G3,no,55,,
24.0,1.0,D4,no,62,,
25.0,1.0,C4,no,60,,
26.0,1.0,B-3,no,58,,
27.0,1.0,A3,no,57,,
28.0,1.0,G3,no,55,,
29.0,1.0,D3,no,50,,
30.0,2.0,D3,no,50,,
32.0,1.0,D3,no,50,,
33.0,1.0,D#3,start,51,,
34.0,0.5,D#3,stop,51,,
34.5,0.5,D#3,no,51,,
35.0,0.5,D#3,no,51,,
35.5,0.5,D#3,no,51,,
36.0,0.5,F3,no,53,,
36.5,0.5,C3,no,48,,
37.0,3.0,D3,no,50,,
40.0,1.0,D3,no,50,,
41.0,1.0,C3,start,48,,
42.0,0.5,C3,stop,48,,
42.5,0.5,C3,no,48,,
43.0,1.0,D3,start,50,,
44.0,0.5,D3,stop,50,,
44.5,0.5,A2,no,45,,
45.0,1.0,B-2,no,46,,
46.0,2.0,B-2,no,46,,
48.0,1.0,B-2,no,46,,
49.0,1.0,C3,no,48,,
50.0,0.5,C3,no,48,,
50.5,0.5,C3,no,48,,
51.0,1.0,F3,start,53,,
52.0,0.5,F3,stop,53,,
52.5,0.5,F3,no,53,,
53.0,1.0,D3,no,50,,
54.0,1.0,D3,no,50,,
55.0,1.0,G3,start,55,,
56.0,0.5,G3,stop,55,,
56.5,0.5,G3,no,55,,
57.0,1.0,G3,no,55,,
58.0,0.5,G3,no,55,,
58.5,0.5,G3,no,55,,
59.0,1.0,G3,start,55,,
60.0,0.5,G3,stop,55,,
60.5,0.5,G3,no,55,,
61.0,1.0,F#3,no,54,,
62.0,2.0,A3,no,57,,
64.0,1.0,D3,no,50,,
65.0,1.0,D3,start,50,,
66.0,0.5,D3,stop,50,,
66.5,0.5,D3,no,50,,
67.0,0.5,D3,no,50,,
67.5,0.5,D3,no,50,,
68.0,0.5,D3,no,50,,
68.5,0.5,G3,no,55,,
69.0,1.0,F#3,no,54,,
70.0,2.0,A3,no,57,,
72.0,1.0,D3,no,50,,
73.0,1.0,D3,no,50,,
74.0,0.5,D3,no,50,,
74.5,0.5,D3,no,50,,
75.0,1.0,D3,no,50,,
76.0,1.0,G3,no,55,,
77.0,1.0,F#3,no,54,,
78.0,1.0,D3,no,50,,
80.0,1.0,D3,no,50,,
81.0,1.0,G3,no,55,,
82.0,1.0,G3,no,55,,
83.0,1.0,A3,no,57,,
84.0,1.0,A3,no,57,,
85.0,1.0,D4,start,62,,
86.0,0.5,D4,stop,62,,
86.5,0.5,B3,no,59,,
87.0,1.0,G3,no,55,,
88.0,1.0,G3,no,55,,
89.0,1.0,E3,no,52,,
90.0,1.0,C4,no,60,,
91.0,1.0,B3,no,59,,
92.0,1.0,A3,no,57,,
93.0,3.0,G3,no,55,,
96.0,1.0,D3,no,50,,
97.0,1.0,G3,no,55,,
98.0,1.0,G3,no,55,,
99.0,1.0,A3,no,57,,
100.0,1.0,A3,no,57,,
101.0,1.0,D4,start,62,,
102.0,0.5,D4,stop,62,,
102.5,0.5,B3,no,59,,
103.0,1.0,G3,no,55,,
104.0,1.0,G3,no,55,,
105.0,1.0,E3,no,52,,
106.0,1.0,C4,no,60,,
107.0,1.0,B3,no,59,,
108.0,1.0,A3,no,57,,
109.0,3.0,G3,no,55,,
112.0,0.5,G3,no,55,,
112.5,0.5,A3,no,57,,
113.0,1.0,B3,no,59,,
114.0,0.75,B3,no,59,,
114.75,0.25,B3,no,59,,
115.0,0.5,C4,no,60,,
115.5,0.5,B3,no,59,,
116.0,0.5,A3,no,57,,
116.5,0.5,G3,no,55,,
117.0,1.0,A3,no,57,,
118.0,0.75,A3,no,57,,
118.75,0.25,A3,no,57,,
119.0,1.0,A3,no,57,,
120.0,0.5,A3,no,57,,
120.5,0.5,B3,no,59,,
121.0,1.0,C4,no,60,,
122.0,0.75,C4,no,60,,
122.75,0.25,C4,no,60,,
123.0,0.5,D4,no,62,,
123.5,0.5,C4,no,60,,
124.0,0.5,B3,no,59,,
124.5,0.5,A3,no,57,,
125.0,1.0,B3,no,59,,
126.0,0.75,B3,no,59,,
126.75,0.25,B3,no,59,,
127.0,1.0,B3,no,59,,
128.0,1.0,D4,no,62,,
129.0,1.0,D4,no,62,,
130.0,0.5,B3,no,59,,
130.5,0.5,G3,no,55,,
131.0,1.0,D4,no,62,,
132.0,0.5,B3,no,59,,
132.5,0.5,G3,no,55,,
133.0,1.0,D4,no,62,,
134.0,2.0,D3,no,50,,
136.0,1.0,D3,no,50,,
137.0,1.0,G3,no,55,,
138.0,1.0,G3,no,55,,
139.0,1.0,A3,no,57,,
140.0,1.0,A3,no,57,,
141.0,1.0,D4,start,62,,
142.0,0.5,D4,stop,62,,
142.5,0.5,B3,no,59,,
143.0,1.0,G3,no,55,,
144.0,1.0,G3,no,55,,
145.0,1.0,E3,no,52,,
146.0,0.75,C4,no,60,,
146.75,0.25,C4,no,60,,
147.0,1.0,B3,no,59,,
148.0,1.0,A3,no,57,,
149.0,3.0,G3,no,55,,
