beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,0.5,D3,no,50,,
0.5,0.5,E3,no,52,,
1.0,0.5,F#3,no,54,,
1.5,0.5,G3,no,55,,
2.0,0.5,A3,no,57,,
2.5,0.5,A3,no,57,,
3.0,0.5,A3,no,57,,
3.5,0.5,A3,no,57,,
4.0,0.5,B3,no,59,,
4.5,0.5,G3,no,55,,
5.0,0.5,D4,no,62,,
5.5,0.5,B3,no,59,,
6.0,1.0,A3,no,57,,
8.0,0.5,B3,no,59,,
8.5,0.5,G3,no,55,,
9.0,0.5,D4,no,62,,
9.5,0.5,B3,no,59,,
10.0,1.0,A3,no,57,,
12.0,0.5,A3,no,57,,
12.5,0.5,G3,no,55,,
13.0,0.5,G3,no,55,,
13.5,0.5,G3,no,55,,
14.0,0.5,G3,no,55,,
14.5,0.5,F#3,no,54,,
15.0,0.5,F#3,no,54,,
15.5,0.5,F#3,no,54,,
16.0,0.5,F#3,no,54,,
16.5,0.5,E3,no,52,,
17.0,0.5,E3,no,52,,
17.5,0.5,E3,no,52,,
18.0,0.5,D3,no,50,,
18.5,0.5,F#3,no,54,,
19.0,1.0,A3,no,57,,
20.0,0.5,A3,no,57,,
20.5,0.5,G3,no,55,,
21.0,0.5,G3,no,55,,
21.5,0.5,G3,no,55,,
22.0,0.5,G3,no,55,,
22.5,0.5,F#3,no,54,,
23.0,0.5,F#3,no,54,,
23.5,0.5,F#3,no,54,,
24.0,0.5,F#3,no,54,,
24.5,0.5,E3,no,52,,
25.0,0.5,E3,no,52,,
25.5,0.5,E3,no,52,,
26.0,1.0,D3,no,50,,
28.0,0.5,D3,no,50,,
28.5,0.5,E3,no,52,,
29.0,0.5,F#3,no,54,,
29.5,0.5,G3,no,55,,
30.0,0.5,A3,no,57,,
30.5,0.5,A3,no,57,,
31.0,0.5,A3,no,57,,
31.5,0.5,A3,no,57,,
32.0,0.5,B3,no,59,,
32.5,0.5,G3,no,55,,
33.0,0.5,D4,no,62,,
33.5,0.5,B3,no,59,,
34.0,1.0,A3,no,57,,
36.0,0.5,B3,no,59,,
36.5,0.5,G3,no,55,,
37.0,0.5,D4,no,62,,
37.5,0.5,B3,no,59,,
38.0,1.0,A3,no,57,,
40.0,0.5,A3,no,57,,
40.5,0.5,G3,no,55,,
41.0,0.5,G3,no,55,,
41.5,0.5,G3,no,55,,
42.0,0.5,G3,no,55,,
42.5,0.5,F#3,no,54,,
43.0,0.5,F#3,no,54,,
43.5,0.5,F#3,no,54,,
44.0,0.5,F#3,no,54,,
44.5,0.5,E3,no,52,,
45.0,0.5,E3,no,52,,
45.5,0.5,E3,no,52,,
46.0,0.5,D3,no,50,,
46.5,0.5,F#3,no,54,,
47.0,1.0,A3,no,57,,
48.0,0.5,A3,no,57,,
48.5,0.5,G3,no,55,,
49.0,0.5,G3,no,55,,
49.5,0.5,G3,no,55,,
50.0,0.5,G3,no,55,,
50.5,0.5,F#3,no,54,,
51.0,0.5,F#3,no,54,,
51.5,0.5,F#3,no,54,,
52.0,0.5,F#3,no,54,,
52.5,0.5,E3,no,52,,
53.0,0.5,E3,no,52,,
53.5,0.5,E3,no,52,,
54.0,1.0,D3,no,50,,
