beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,G3,no,55,,
1.0,1.0,G3,no,55,,
2.0,1.0,G3,no,55,,
3.0,1.0,G3,no,55,,
4.0,0.5,C4,no,60,,
4.5,0.5,B3,no,59,,
5.0,1.0,C4,no,60,,
6.0,1.0,E3,no,52,,
7.0,0.5,D3,no,50,,
7.5,0.5,F3,no,53,,
8.0,0.5,E3,no,52,,
8.5,0.5,D3,no,50,,
9.0,1.0,E3,no,52,,
10.0,0.5,D3,no,50,,
10.5,0.5,E3,no,52,,
11.0,1.0,C3,no,48,,
12.0,1.0,A3,no,57,,
13.0,1.0,A3,no,57,,
14.0,1.0,A3,no,57,,
15.0,1.0,A3,no,57,,
16.0,0.5,G3,no,55,,
16.5,0.5,F3,no,53,,
17.0,0.5,E3,no,52,,
17.5,0.5,D3,no,50,,
18.0,1.0,G3,no,55,,
19.0,0.5,F3,no,53,,
19.5,0.5,E3,no,52,,
20.0,0.5,D3,no,50,,
20.5,0.5,E3,no,52,,
21.0,3.0,C3,no,48,,
24.0,1.0,G3,no,55,,
25.0,1.0,G3,no,55,,
26.0,1.0,G3,no,55,,
27.0,1.0,G3,no,55,,
28.0,0.5,C4,no,60,,
28.5,0.5,B3,no,59,,
29.0,1.0,C4,no,60,,
30.0,1.0,E3,no,52,,
31.0,0.5,D3,no,50,,
31.5,0.5,F3,no,53,,
32.0,0.5,E3,no,52,,
32.5,0.5,D3,no,50,,
33.0,1.0,E3,no,52,,
34.0,0.5,D3,no,50,,
34.5,0.5,E3,no,52,,
35.0,1.0,C3,no,48,,
36.0,1.0,A3,no,57,,
37.0,1.0,A3,no,57,,
38.0,1.0,A3,no,57,,
39.0,1.0,A3,no,57,,
40.0,0.5,G3,no,55,,
40.5,0.5,F3,no,53,,
41.0,0.5,E3,no,52,,
41.5,0.5,D3,no,50,,
42.0,1.0,G3,no,55,,
43.0,0.5,F3,no,53,,
43.5,0.5,E3,no,52,,
44.0,0.5,D3,no,50,,
44.5,0.5,E3,no,52,,
45.0,3.0,C3,no,48,,
48.0,1.0,D3,no,50,,
49.0,1.0,D3,no,50,,
50.0,1.0,D3,no,50,,
51.0,1.0,D3,no,50,,
