beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,G3,no,55,0,0
1.0,1.0,G3,no,55,0.6,0.6
2.0,1.0,G3,no,55,1.2,1.2
3.0,1.0,G3,no,55,1.8,1.8
4.0,0.5,C4,no,60,2.4,2.4
4.5,0.5,B3,no,59,2.7,2.7
5.0,1.0,C4,no,60,3,3
6.0,1.0,E3,no,52,3.6,3.6
7.0,0.5,D3,no,50,4.2,4.2
7.5,0.5,F3,no,53,4.5,4.5
8.0,0.5,E3,no,52,4.8,4.8
8.5,0.5,D3,no,50,5.1,5.1
9.0,1.0,E3,no,52,5.4,5.4
10.0,0.5,D3,no,50,6,6
10.5,0.5,E3,no,52,6.3,6.3
11.0,1.0,C3,no,48,6.6,6.6
12.0,1.0,A3,no,57,7.2,7.2
13.0,1.0,A3,no,57,7.8,7.8
14.0,1.0,A3,no,57,8.4,8.4
15.0,1.0,A3,no,57,9,9
16.0,0.5,G3,no,55,9.6,9.6
16.5,0.5,F3,no,53,9.9,9.9
17.0,0.5,E3,no,52,10.2,10.2
17.5,0.5,D3,no,50,10.5,10.5
18.0,1.0,G3,no,55,10.8,10.8
19.0,0.5,F3,no,53,11.4,11.4
19.5,0.5,E3,no,52,11.7,11.7
20.0,0.5,D3,no,50,12,12
20.5,0.5,E3,no,52,12.3,12.3
21.0,3.0,C3,no,48,12.6,12.6
24.0,1.0,G3,no,55,14.4,14.4
25.0,1.0,G3,no,55,15,15
26.0,1.0,G3,no,55,15.6,15.6
27.0,1.0,G3,no,55,16.2,16.2
28.0,0.5,C4,no,60,16.8,16.8
28.5,0.5,B3,no,59,17.1,17.1
29.0,1.0,C4,no,60,17.4,17.4
30.0,1.0,E3,no,52,18,18
31.0,0.5,D3,no,50,18.6,18.6
31.5,0.5,F3,no,53,18.9,18.9
32.0,0.5,E3,no,52,19.2,19.2
32.5,0.5,D3,no,50,19.5,19.5
33.0,1.0,E3,no,52,19.8,19.8
34.0,0.5,D3,no,50,20.4,20.4
34.5,0.5,E3,no,52,20.7,20.7
35.0,1.0,C3,no,48,21,21
36.0,1.0,A3,no,57,21.6,21.6
37.0,1.0,A3,no,57,22.2,22.2
38.0,1.0,A3,no,57,22.8,22.8
39.0,1.0,A3,no,57,23.4,23.4
40.0,0.5,G3,no,55,24,24
40.5,0.5,F3,no,53,24.3,24.3
41.0,0.5,E3,no,52,24.6,24.6
41.5,0.5,D3,no,50,24.9,24.9
42.0,1.0,G3,no,55,25.2,25.2
43.0,0.5,F3,no,53,25.8,25.8
43.5,0.5,E3,no,52,26.1,26.1
44.0,0.5,D3,no,50,26.4,26.4
44.5,0.5,E3,no,52,26.7,26.7
45.0,3.0,C3,no,48,27,27
48.0,1.0,D3,no,50,28.8,28.8
49.0,1.0,D3,no,50,29.4,29.4
50.0,1.0,D3,no,50,30,30
51.0,1.0,D3,no,50,30.6,30.6
52.0,0.5,G3,no,55,31.2,31.2
52.5,0.5,F#3,no,54,31.5,31.5
53.0,1.0,G3,no,55,31.8,31.8
54.0,1.0,D3,no,50,32.4,32.4
55.0,1.0,E3,no,52,33,33
56.0,1.0,F3,no,53,33.6,33.6
57.0,1.0,E3,no,52,34.2,34.2
58.0,0.5,D3,no,50,34.8,34.8
58.5,0.5,E3,no,52,35.1,35.1
59.0,1.0,C3,no,48,35.4,35.4
