beat,duration,pitch,tie,midi,ref_ts,live_ts
0.0,1.0,G3,no,55,0,0
1.0,1.0,G3,no,55,0.6,0.6
2.0,1.0,E3,no,52,1.2,1.2
3.0,0.5,F3,no,53,1.8,1.8
3.5,0.5,E3,no,52,2.1,2.1
4.0,0.5,D3,no,50,2.4,2.4
4.5,0.5,C3,no,48,2.7,2.7
5.0,1.0,A3,no,57,3,3
6.0,2.0,C4,no,60,3.6,3.6
8.0,0.5,B3,no,59,4.8,4.8
8.5,0.5,A3,no,57,5.1,5.1
9.0,1.0,G3,no,55,5.4,5.4
10.0,0.5,F3,no,53,6,6
10.5,0.5,E3,no,52,6.3,6.3
11.0,0.5,D3,no,50,6.6,6.6
11.5,0.5,E3,no,52,6.9,6.9
12.0,0.5,F3,no,53,7.2,7.2
12.5,0.5,D3,no,50,7.5,7.5
13.0,1.0,E3,no,52,7.8,7.8
14.0,2.0,C3,no,48,8.4,8.4
16.0,1.0,D3,no,50,9.6,9.6
17.0,0.5,E3,no,52,10.2,10.2
17.5,0.5,F#3,no,54,10.5,10.5
18.0,0.5,G3,no,55,10.8,10.8
18.5,0.5,E3,no,52,11.1,11.1
19.0,0.5,F#3,no,54,11.4,11.4
19.5,0.5,G3,no,55,11.7,11.7
20.0,0.5,A3,no,57,12,12
20.5,0.5,F#3,no,54,12.3,12.3
21.0,0.5,G3,no,55,12.6,12.6
21.5,0.5,A3,no,57,12.9,12.9
22.0,0.5,B3,no,59,13.2,13.2
22.5,0.5,G3,no,55,13.5,13.5
23.0,0.5,A3,no,57,13.8,13.8
23.5,0.5,B3,no,59,14.1,14.1
24.0,0.5,C4,no,60,14.4,14.4
24.5,0.5,A3,no,57,14.7,14.7
25.0,0.5,B3,no,59,15,15
25.5,0.5,C4,no,60,15.3,15.3
26.0,1.0,D4,no,62,15.6,15.6
27.0,1.0,D3,no,50,16.2,16.2
28.0,1.0,F#3,no,54,16.8,16.8
29.0,3.0,G3,no,55,17.4,17.4
32.0,1.0,G3,no,55,19.2,19.2
33.0,1.0,G3,no,55,19.8,19.8
34.0,1.0,E3,no,52,20.4,20.4
35.0,0.5,F3,no,53,21,21
35.5,0.5,E3,no,52,21.3,21.3
36.0,0.5,D3,no,50,21.6,21.6
36.5,0.5,C3,no,48,21.9,21.9
37.0,1.0,A3,no,57,22.2,22.2
38.0,2.0,C4,no,60,22.8,22.8
40.0,0.5,B3,no,59,24,24
40.5,0.5,A3,no,57,24.3,24.3
41.0,1.0,G3,no,55,24.6,24.6
42.0,0.5,F3,no,53,25.2,25.2
42.5,0.5,E3,no,52,25.5,25.5
43.0,0.5,D3,no,50,25.8,25.8
43.5,0.5,E3,no,52,26.1,26.1
44.0,0.5,F3,no,53,26.4,26.4
44.5,0.5,D3,no,50,26.7,26.7
45.0,1.0,E3,no,52,27,27
46.0,2.0,C3,no,48,27.6,27.6
48.0,1.0,D3,no,50,28.8,28.8
49.0,0.5,E3,no,52,29.4,29.4
49.5,0.5,F#3,no,54,29.7,29.7
50.0,0.5,G3,no,55,30,30
50.5,0.5,E3,no,52,30.3,30.3
51.0,0.5,F#3,no,54,30.6,30.6
51.5,0.5,G3,no,55,30.9,30.9
52.0,0.5,A3,no,57,31.2,31.2
52.5,0.5,F#3,no,54,31.5,31.5
53.0,0.5,G3,no,55,31.8,31.8
